"35119";"CADEIRA FIXA ESTOFADA, s/BRAÇOS";"s/BRACOS   SALA 05  ";" ";"2100.13.03.05";
"35125";"CADEIRA FIXA ESTOFADA, s/BRAÇOS";"s/BRACOS  ";" ";"2100.13.02.29";
"35380";"ARMARIO DE MADEIRA, COM PORTA DE VIDRO ";"ER,  COM   VIDRO E PRATELEIRAS INTERNAS  SALA 05  ";" ";"2100.13.03.25";
"36990";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA LPI  ";"";"2100.13.02.10";
"36992";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.10";
"36993";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA LPI  ";"";"2100.13.02.10";
"36994";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.14";
"36995";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.04";
"36996";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.04";
"36997";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.10";
"36998";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.10";
"36999";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.14";
"37000";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.10";
"37001";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.01";
"37002";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.04";
"37003";"MESA";"PLA,    EM ACO, COM TAMPO EM FORMICA  SALA PAE  ";"";"2100.13.02.17";
"37091";"MESA PARA IMPRESSORA DE PROCESSAMENTO DE";"DADOS, EM ACO E TAMPO EM FORMICA, c/CESTO p/PAPEIS ACOPLADO SALA LU ";" ";"2100.13.03.46";
"37940";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  PAE  ";" ";"2100.13.02.01";
"37946";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  PAE  ";" ";"2100.13.02.20";
"37948";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  PAE  ";" ";"2100.13.02.20";
"37950";"CADEIRA FIXA, EM MADEIRA/METAL, s/BRAÇOS";"O E ENCOS- TO EM MADEIRA, SEM BRACOS  PAE  ";" ";"2100.13.02.20";
